156.00599|-57.76111|1679a-15-853  |156.00599|-57.76111| 0.61| 1.88|18.41| 0.03|17.80| 0.01|15.92| 0.01|15.45| 0.01|15.95| 0.01|14.87| 0.01
156.00633|-57.76584|1679a-15-697  |156.00633|-57.76584| 0.63| 2.04|16.70| 0.01|16.07| 0.00|14.03| 0.00|13.60| 0.01|14.05| 0.01|12.87| 0.00
156.00634|-57.76584|1679b-12-5152 |156.00634|-57.76584| 0.62| 2.07|16.70| 0.01|16.08| 0.00|14.01| 0.00|     |     |14.04| 0.00|12.81| 0.01
156.00664|-57.75101|1679a-15-1176 |156.00664|-57.75101| 0.36| 1.55|18.22| 0.02|17.86| 0.01|16.31| 0.01|15.93| 0.01|16.31| 0.01|15.45| 0.01
156.00665|-57.75102|1679b-12-2705 |156.00665|-57.75102| 0.34| 1.60|18.21| 0.02|17.87| 0.01|16.27| 0.01|     |     |16.32| 0.01|15.40| 0.01
156.00669|-57.75774|1679a-15-5294 |156.00669|-57.75774| 0.17| 1.64|15.89| 0.01|15.71| 0.01|14.07| 0.01|13.69| 0.01|14.10| 0.01|13.19| 0.01
156.00785|-57.76111|1679a-15-854  |156.00785|-57.76111| 0.52| 1.82|17.96| 0.02|17.44| 0.01|15.62| 0.01|15.19| 0.01|15.60| 0.01|14.54| 0.01
156.00786|-57.76111|1679b-12-5320 |156.00786|-57.76111| 0.50| 1.84|17.94| 0.02|17.44| 0.01|15.60| 0.01|     |     |15.61| 0.01|14.48| 0.01
156.00851|-57.76577|1679a-15-703  |156.00851|-57.76577| 0.91| 2.00|20.59| 0.10|19.68| 0.02|17.67| 0.01|17.23| 0.02|17.66| 0.01|16.49| 0.01
156.00870|-57.75219|1679a-15-1144 |156.00870|-57.75219| 0.79| 1.75|20.04| 0.07|19.26| 0.02|17.50| 0.01|17.15| 0.02|17.51| 0.01|16.55| 0.01
156.00871|-57.75220|1679b-12-2673 |156.00871|-57.75220| 0.87| 1.81|20.14| 0.08|19.27| 0.02|17.47| 0.01|     |     |17.53| 0.01|16.48| 0.01
156.01004|-57.76307|1679a-15-796  |156.01004|-57.76307| 0.58| 1.95|18.16| 0.02|17.58| 0.01|15.63| 0.01|15.22| 0.01|15.64| 0.01|14.53| 0.01
156.01006|-57.76308|1679b-12-2374 |156.01006|-57.76308| 0.56| 1.98|18.15| 0.02|17.58| 0.01|15.61| 0.00|     |     |15.64| 0.00|14.47| 0.01
156.01019|-57.77645|1679a-15-395  |156.01019|-57.77645| 0.68| 1.79|20.56| 0.10|19.88| 0.02|18.09| 0.10|17.32| 0.02|17.82| 0.01|16.68| 0.01
156.01021|-57.77646|1679b-12-2048 |156.01021|-57.77646| 1.03| 2.01|20.85| 0.14|19.82| 0.02|17.81| 0.01|     |     |17.82| 0.01|16.67| 0.01
