#RA2000 DEC2000
156.02868 -57.76998
156.02869 -57.76998
156.02876 -57.77426
156.02878 -57.77426
156.02881 -57.78459
156.02881 -57.78459
156.02917 -57.76005
156.02919 -57.76364
156.02922 -57.76363
156.02925 -57.76588
156.02926 -57.76589
156.02908 -57.76962
156.02905 -57.76963
156.02964 -57.77129
156.02965 -57.77130
156.03058 -57.75684
156.03057 -57.75685
156.03032 -57.77412
156.03036 -57.77414
156.03034 -57.78166
156.03037 -57.78168
156.03045 -57.78368
156.03046 -57.78368
156.03140 -57.75873
156.03148 -57.75877
156.03180 -57.77282
156.03179 -57.77283
156.03188 -57.76129
156.03189 -57.76129
156.03189 -57.78505
156.03191 -57.78506
156.03258 -57.78959
156.03260 -57.78959
156.03312 -57.77396
